    Grid Asset ID, Grid Asset Device,   Free Asset Name, Free Asset Device,              Start Epoch,                End Epoch,         Start [s],           End [s],       Duration [s]
               21,              none,     sat_con_1_0_5,     sat_geosensor, 2020-07-07T00:00:00.000Z, 2020-07-07T00:05:00.000Z,          0.000000,        300.000000,         300.000000
               26,              none,     sat_con_1_1_4,     sat_geosensor, 2020-07-07T00:04:27.272Z, 2020-07-07T00:06:00.000Z,        267.272727,        360.000000,          92.727273
               35,              none,     sat_con_1_0_4,     sat_geosensor, 2020-07-07T00:05:27.272Z, 2020-07-07T00:06:00.000Z,        327.272727,        360.000000,          32.727273
               58,              none,     sat_con_1_1_4,     sat_geosensor, 2020-07-07T00:01:05.454Z, 2020-07-07T00:06:00.000Z,         65.454545,        360.000000,         294.545455
               77,              none,     sat_con_1_0_4,     sat_geosensor, 2020-07-07T00:02:54.545Z, 2020-07-07T00:06:00.000Z,        174.545455,        360.000000,         185.454545
               78,              none,     sat_con_1_0_4,     sat_geosensor, 2020-07-07T00:02:10.909Z, 2020-07-07T00:06:00.000Z,        130.909091,        360.000000,         229.090909
               79,              none,     sat_con_1_0_4,     sat_geosensor, 2020-07-07T00:02:16.363Z, 2020-07-07T00:06:00.000Z,        136.363636,        360.000000,         223.636364
               80,              none,     sat_con_1_0_4,     sat_geosensor, 2020-07-07T00:02:49.090Z, 2020-07-07T00:06:00.000Z,        169.090909,        360.000000,         190.909091
