    Lat. [deg],     Lon. [deg],       Alt. [m],       Point ID, Mean Gap Time [s]
     24.546412,     -81.979779,       1.000000,             12,     1303.333333
     25.546412,     -80.979779,       1.000000,             44,     1300.000000
     25.546412,     -80.479779,       1.000000,             45,     1303.333333
     26.046412,     -81.479779,       1.000000,             58,     1296.666667
     26.046412,     -80.979779,       1.000000,             59,     1300.000000
     26.046412,     -80.479779,       1.000000,             60,     1300.000000
     26.546412,     -81.979779,       1.000000,             72,     1300.000000
     26.546412,     -81.479779,       1.000000,             73,     1300.000000
     26.546412,     -80.979779,       1.000000,             74,     1296.666667
     26.546412,     -80.479779,       1.000000,             75,     1300.000000
     27.046412,     -81.979779,       1.000000,             87,     1300.000000
     27.046412,     -81.479779,       1.000000,             88,     1300.000000
     27.046412,     -80.979779,       1.000000,             89,     1296.666667
     27.046412,     -80.479779,       1.000000,             90,     1303.333333
     27.546412,     -82.479779,       1.000000,            101,     1303.333333
     27.546412,     -81.979779,       1.000000,            102,     1303.333333
     27.546412,     -81.479779,       1.000000,            103,     1300.000000
     27.546412,     -80.979779,       1.000000,            104,     1300.000000
     27.546412,     -80.479779,       1.000000,            105,     1303.333333
     28.046412,     -82.479779,       1.000000,            116,     1303.333333
     28.046412,     -81.979779,       1.000000,            117,     1300.000000
     28.046412,     -81.479779,       1.000000,            118,     1296.666667
     28.046412,     -80.979779,       1.000000,            119,     1300.000000
     28.546412,     -82.479779,       1.000000,            131,     1303.333333
     28.546412,     -81.979779,       1.000000,            132,     1300.000000
     28.546412,     -81.479779,       1.000000,            133,     1296.666667
     28.546412,     -80.979779,       1.000000,            134,     1300.000000
     29.046412,     -82.479779,       1.000000,            146,     1303.333333
     29.046412,     -81.979779,       1.000000,            147,     1300.000000
     29.046412,     -81.479779,       1.000000,            148,     1296.666667
     29.046412,     -80.979779,       1.000000,            149,     1296.666667
     29.546412,     -82.979779,       1.000000,            160,     1296.666667
     29.546412,     -82.479779,       1.000000,            161,      972.500000
     29.546412,     -81.979779,       1.000000,            162,     1303.333333
     29.546412,     -81.479779,       1.000000,            163,     1300.000000
     30.046412,     -85.479779,       1.000000,            170,     1300.000000
     30.046412,     -84.979779,       1.000000,            171,     1296.666667
     30.046412,     -84.479779,       1.000000,            172,      975.000000
     30.046412,     -83.979779,       1.000000,            173,     1300.000000
     30.046412,     -83.479779,       1.000000,            174,     1300.000000
     30.046412,     -82.979779,       1.000000,            175,     1296.666667
     30.046412,     -82.479779,       1.000000,            176,      972.500000
     30.046412,     -81.979779,       1.000000,            177,     1300.000000
     30.046412,     -81.479779,       1.000000,            178,     1300.000000
     30.546412,     -86.979779,       1.000000,            182,     1975.000000
     30.546412,     -86.479779,       1.000000,            183,     1306.666667
     30.546412,     -85.979779,       1.000000,            184,     1300.000000
     30.546412,     -85.479779,       1.000000,            185,     1300.000000
     30.546412,     -84.979779,       1.000000,            186,     1300.000000
     30.546412,     -84.479779,       1.000000,            187,      975.000000
     30.546412,     -83.979779,       1.000000,            188,     1303.333333
     30.546412,     -83.479779,       1.000000,            189,     1296.666667
     30.546412,     -82.979779,       1.000000,            190,     1296.666667
     30.546412,     -82.479779,       1.000000,            191,      972.500000
     30.546412,     -81.979779,       1.000000,            192,     1300.000000
     30.546412,     -81.479779,       1.000000,            193,     1296.666667
     26.480523,     -98.337897,       1.000000,            204,     4000.000000
     26.480523,     -97.337897,       1.000000,            205,     4000.000000
     27.480523,     -99.337897,       1.000000,            216,     1985.000000
     27.480523,     -98.337897,       1.000000,            217,     4000.000000
     28.480523,     -99.337897,       1.000000,            229,     1990.000000
     28.480523,     -98.337897,       1.000000,            230,     4000.000000
     28.480523,     -97.337897,       1.000000,            231,     4000.000000
     28.480523,     -96.337897,       1.000000,            232,     4000.000000
     29.480523,    -103.337897,       1.000000,            238,      975.000000
     29.480523,    -100.337897,       1.000000,            241,     1975.000000
     29.480523,     -99.337897,       1.000000,            242,     1990.000000
     29.480523,     -98.337897,       1.000000,            243,     4000.000000
     29.480523,     -97.337897,       1.000000,            244,     4000.000000
     29.480523,     -96.337897,       1.000000,            245,     4000.000000
     29.480523,     -95.337897,       1.000000,            246,     4000.000000
     30.480523,    -104.337897,       1.000000,            250,     1300.000000
     30.480523,    -103.337897,       1.000000,            251,      975.000000
     30.480523,    -102.337897,       1.000000,            252,     1300.000000
     30.480523,    -101.337897,       1.000000,            253,     1306.666667
     30.480523,    -100.337897,       1.000000,            254,     1975.000000
     30.480523,     -99.337897,       1.000000,            255,     1990.000000
     30.480523,     -98.337897,       1.000000,            256,     4000.000000
     30.480523,     -97.337897,       1.000000,            257,     4000.000000
     30.480523,     -96.337897,       1.000000,            258,     4000.000000
     30.480523,     -95.337897,       1.000000,            259,     4000.000000
     30.480523,     -94.337897,       1.000000,            260,     4000.000000
     31.480523,    -105.337897,       1.000000,            262,      970.000000
     31.480523,    -104.337897,       1.000000,            263,     1300.000000
     31.480523,    -103.337897,       1.000000,            264,      972.500000
     31.480523,    -102.337897,       1.000000,            265,     1296.666667
     31.480523,    -101.337897,       1.000000,            266,     1306.666667
     31.480523,    -100.337897,       1.000000,            267,     1975.000000
     31.480523,     -99.337897,       1.000000,            268,     1990.000000
     31.480523,     -98.337897,       1.000000,            269,     4000.000000
