    Lat. [deg],     Lon. [deg],       Alt. [m],       Point ID, Mean Gap Time [s]
     27.531672,     -99.128869,       0.000000,              7,      360.000000
     31.531672,    -111.128869,       0.000000,             19,      360.000000
     31.531672,    -103.128869,       0.000000,             21,       60.000000
     31.531672,     -99.128869,       0.000000,             22,      360.000000
     31.531672,     -95.128869,       0.000000,             23,      360.000000
     31.531672,     -91.128869,       0.000000,             24,      360.000000
     31.531672,     -87.128869,       0.000000,             25,      360.000000
     31.531672,     -83.128869,       0.000000,             26,      267.272727
     35.531672,    -119.128869,       0.000000,             32,      360.000000
     35.531672,    -115.128869,       0.000000,             33,      360.000000
     35.531672,    -111.128869,       0.000000,             34,      360.000000
     35.531672,    -107.128869,       0.000000,             35,      327.272727
     35.531672,    -103.128869,       0.000000,             36,      360.000000
     35.531672,     -99.128869,       0.000000,             37,      360.000000
     35.531672,     -95.128869,       0.000000,             38,      360.000000
     35.531672,     -91.128869,       0.000000,             39,      360.000000
     35.531672,     -87.128869,       0.000000,             40,      360.000000
     35.531672,     -83.128869,       0.000000,             41,      360.000000
     35.531672,     -79.128869,       0.000000,             42,      360.000000
     39.531672,    -123.128869,       0.000000,             46,      360.000000
     39.531672,    -119.128869,       0.000000,             47,      360.000000
     39.531672,    -115.128869,       0.000000,             48,      360.000000
     39.531672,    -111.128869,       0.000000,             49,      360.000000
     39.531672,    -107.128869,       0.000000,             50,      360.000000
     39.531672,    -103.128869,       0.000000,             51,      360.000000
     39.531672,     -99.128869,       0.000000,             52,      360.000000
     39.531672,     -95.128869,       0.000000,             53,      360.000000
     39.531672,     -91.128869,       0.000000,             54,      360.000000
     39.531672,     -87.128869,       0.000000,             55,      360.000000
     39.531672,     -83.128869,       0.000000,             56,      360.000000
     39.531672,     -79.128869,       0.000000,             57,      360.000000
     39.531672,     -75.128869,       0.000000,             58,       65.454545
     43.531672,    -123.128869,       0.000000,             61,      360.000000
     43.531672,    -119.128869,       0.000000,             62,      360.000000
     43.531672,    -115.128869,       0.000000,             63,      360.000000
     43.531672,    -111.128869,       0.000000,             64,      360.000000
     43.531672,    -107.128869,       0.000000,             65,      360.000000
     43.531672,    -103.128869,       0.000000,             66,      360.000000
     43.531672,     -99.128869,       0.000000,             67,      360.000000
     43.531672,     -95.128869,       0.000000,             68,      360.000000
     43.531672,     -91.128869,       0.000000,             69,      360.000000
     43.531672,     -87.128869,       0.000000,             70,      360.000000
     43.531672,     -83.128869,       0.000000,             71,      360.000000
     43.531672,     -75.128869,       0.000000,             73,      360.000000
     43.531672,     -71.128869,       0.000000,             74,      360.000000
     47.531672,    -123.128869,       0.000000,             76,      360.000000
     47.531672,    -119.128869,       0.000000,             77,      174.545455
     47.531672,    -115.128869,       0.000000,             78,      130.909091
     47.531672,    -111.128869,       0.000000,             79,      136.363636
     47.531672,    -107.128869,       0.000000,             80,      169.090909
     47.531672,    -103.128869,       0.000000,             81,      360.000000
     47.531672,     -99.128869,       0.000000,             82,      360.000000
     47.531672,     -95.128869,       0.000000,             83,      360.000000
     47.531672,     -91.128869,       0.000000,             84,      360.000000
     47.531672,     -87.128869,       0.000000,             85,      360.000000
