# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************

#Launch data for DELTA_IV_M Launched from Latitude: 28.531986 Longitude: -80.566821 Altitude: 1.0
#Generated on Mon Dec  3 13:48:44 2018
#Lau-Hdg -Loft- -Incl.- -Time-- ---Lat---- ----Lon---- --Alt-- -Speed-- -FSpeed- --Hdg-- -Angle- -DeltaV- -Fleft- -Tleft-
  40.000 88.200   51.49  888.69  49.008129  -43.527589  414.61  7667.25  7360.13   71.06    0.00  1581.54  5434.3  226.32 414.057 x 407.210 km, e=0.001
  40.000 88.400   51.34  897.01  48.916061  -43.460869  450.35  7647.09  7337.37   71.29    0.00  1532.11  5234.6  218.00 449.818 x 443.046 km, e=0.001
  40.000 88.600   51.17  907.13  48.804992  -43.395977  494.94  7622.21  7309.29   71.54    0.00  1471.25  4991.6  207.88 494.486 x 487.799 km, e=0.001
  40.000 88.800   50.97  919.73  48.667091  -43.339901  552.32  7590.48  7273.54   71.84    0.00  1394.34  4689.0  195.28 551.876 x 545.286 km, e=0.001
  40.000 89.000   50.72  935.96  48.489088  -43.301299  629.58  7548.40  7226.18   72.18    0.00  1293.32  4299.3  179.05 629.178 x 622.702 km, e=0.001
  50.000 81.000    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 81.200    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 81.400    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 81.600    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 81.800    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 82.000    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 82.200    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 82.400    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 82.600    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 82.800    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 83.000    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 83.200    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 83.400    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 83.600    0.00    0.00   0.000000    0.000000    0.00     0.00     0.00    0.00    0.00     0.00     0.0    0.00 0.000 x 0.000 km, e=0.000
  50.000 83.800   45.53  821.92  44.385470  -42.546010  189.29  7796.87  7462.25   77.73    0.00  1960.03  7037.6  293.09 190.417 x 185.897 km, e=0.001
  50.000 84.000   45.50  822.90  44.368238  -42.528213  192.80  7794.78  7459.83   77.78    0.00  1954.70  7014.1  292.11 193.947 x 189.443 km, e=0.001
  50.000 84.200   45.48  823.94  44.350615  -42.509626  196.53  7792.57  7457.27   77.83    0.00  1949.03  6989.1  291.07 197.704 x 193.217 km, e=0.001
  50.000 84.400   45.45  825.04  44.332070  -42.490554  200.51  7790.20  7454.52   77.88    0.00  1943.03  6962.7  289.97 201.663 x 197.194 km, e=0.001
  50.000 84.600   45.42  826.21  44.312837  -42.470717  204.75  7787.66  7451.59   77.93    0.00  1936.63  6934.6  288.80 205.877 x 201.428 km, e=0.001
  50.000 84.800   45.39  827.47  44.293063  -42.448950  209.28  7785.01  7448.53   77.98    0.00  1929.74  6904.3  287.54 210.496 x 206.064 km, e=0.001
  50.000 85.000   45.36  828.81  44.272447  -42.426861  214.15  7782.13  7445.21   78.04    0.00  1922.39  6872.2  286.20 215.375 x 210.964 km, e=0.001
  50.000 85.200   45.32  830.24  44.250730  -42.404279  219.39  7778.99  7441.60   78.10    0.00  1914.54  6837.8  284.77 220.562 x 216.174 km, e=0.001
  50.000 85.400   45.29  831.79  44.228116  -42.379514  225.06  7775.67  7437.78   78.16    0.00  1906.02  6800.6  283.22 226.274 x 221.908 km, e=0.001
  50.000 85.600   45.25  833.46  44.204585  -42.353780  231.21  7772.04  7433.63   78.22    0.00  1896.81  6760.5  281.55 232.437 x 228.094 km, e=0.001
  50.000 85.800   45.22  835.27  44.179670  -42.326422  237.90  7768.11  7429.12   78.29    0.00  1886.82  6717.1  279.74 239.161 x 234.841 km, e=0.001
  50.000 86.000   45.18  837.23  44.153410  -42.298146  245.21  7763.79  7424.18   78.36    0.00  1875.97  6670.0  277.78 246.446 x 242.153 km, e=0.001
  50.000 86.200   45.13  839.37  44.125582  -42.268031  253.24  7759.06  7418.79   78.44    0.00  1864.09  6618.6  275.64 254.460 x 250.196 km, e=0.001
  50.000 86.400   45.09  841.72  44.096122  -42.235596  262.10  7753.89  7412.89   78.52    0.00  1851.02  6562.2  273.29 263.358 x 259.122 km, e=0.001
