# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_MRBM_2
#Generated on Thu Jan 14 13:35:14 2010
#loft_angle burn_time ground_range time_of_flight
88.5000 92.0200 319429.69 346.9238
88.5000 92.0400 319710.51 347.0383
88.5000 92.0600 320022.66 347.1529
88.5000 92.0800 320303.92 347.2676
88.5000 92.1000 320585.37 347.3822
88.5000 92.1200 320867.02 347.4970
88.5000 92.1400 321180.09 347.6117
88.5000 92.1600 321462.18 347.7266
88.5000 92.1800 321744.48 347.8414
88.5000 92.2000 322058.23 347.9563
88.5000 92.2200 322340.96 348.0713
88.5000 92.2400 322623.89 348.1863
88.5000 92.2600 322938.32 348.3013
88.5000 92.2800 323221.70 348.4164
88.5000 92.3000 323505.27 348.5315
88.5000 92.3200 323789.05 348.6466
88.5000 92.3400 324104.40 348.7618
88.5000 92.3600 324388.62 348.8771
88.5000 92.3800 324673.05 348.9924
88.5000 92.4000 324989.08 349.1077
88.5000 92.4200 325273.95 349.2231
88.5000 92.4400 325559.02 349.3385
88.5000 92.4600 325875.74 349.4540
88.5000 92.4800 326161.25 349.5695
88.5000 92.5000 326446.97 349.6851
88.5000 92.5200 326764.38 349.8007
88.5000 92.5400 327050.54 349.9163
88.5000 92.5600 327336.90 350.0320
88.5000 92.5800 327623.47 350.1477
88.5000 92.6000 327941.81 350.2635
88.5000 92.6200 328228.82 350.3793
88.5000 92.6400 328516.04 350.4952
88.5000 92.6600 328835.08 350.6111
88.5000 92.6800 329122.75 350.7271
88.5000 92.7000 329410.61 350.8431
88.5000 92.7200 329730.35 350.9591
88.5000 92.7400 330018.67 351.0752
88.5000 92.7600 330307.19 351.1913
88.5000 92.7800 330627.63 351.3075
88.5000 92.8000 330916.60 351.4237
88.5000 92.8200 331205.78 351.5400
88.5000 92.8400 331526.91 351.6563
88.5000 92.8600 331816.55 351.7727
88.5000 92.8800 332106.38 351.8891
88.5000 92.9000 332428.22 352.0055
88.5000 92.9200 332718.51 352.1220
88.5000 92.9400 333009.00 352.2386
88.5000 92.9600 333331.54 352.3551
88.5000 92.9800 333622.49 352.4718
88.5000 93.0000 333913.64 352.5884
88.5000 93.0200 334236.89 352.7052
88.5000 93.0400 334528.50 352.8219
88.5000 93.0600 334820.31 352.9387
88.5000 93.0800 335144.27 353.0556
88.5000 93.1000 335436.54 353.1725
88.5000 93.1200 335729.02 353.2894
88.5000 93.1400 336053.69 353.4064
88.5000 93.1600 336346.62 353.5235
88.5000 93.1800 336639.76 353.6406
88.5000 93.2000 336965.14 353.7577
88.5000 93.2200 337258.74 353.8749
88.5000 93.2400 337552.54 353.9921
88.5000 93.2600 337878.64 354.1094
88.5000 93.2800 338172.91 354.2267
88.5000 93.3000 338467.38 354.3440
88.5000 93.3200 338794.19 354.4614
88.5000 93.3400 339089.12 354.5789
88.5000 93.3600 339384.26 354.6964
88.5000 93.3800 339711.80 354.8139
88.5000 93.4000 340007.39 354.9315
88.5000 93.4200 340303.20 355.0491
88.5000 93.4400 340631.46 355.1668
88.5000 93.4600 340927.72 355.2846
88.5000 93.4800 341256.45 355.4023
88.5000 93.5000 341553.18 355.5202
88.5000 93.5200 341850.12 355.6380
88.5000 93.5400 342179.57 355.7559
88.5000 93.5600 342476.98 355.8739
88.5000 93.5800 342774.59 355.9919
88.5000 93.6000 343104.77 356.1100
88.5000 93.6200 343402.84 356.2281
