# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_3
#Generated on Wed Feb 17 08:03:03 2010
#loft_angle burn_time ground_range time_of_flight impact_speed impact angle
57.4600 71.9400 489208.75 391.3635 1122.04 -49.0009
57.4600 71.9600 489553.80 391.4870 1124.35 -48.9883
57.4600 71.9800 489935.91 391.6105 1122.60 -48.9918
57.4600 72.0000 490281.41 391.7341 1124.92 -48.9792
57.4600 72.0200 490664.00 391.8577 1123.17 -48.9827
57.4600 72.0400 491009.94 391.9814 1125.50 -48.9700
57.4600 72.0600 491393.01 392.1052 1123.76 -48.9735
57.4600 72.0800 491739.41 392.2290 1126.10 -48.9608
57.4600 72.1000 492122.95 392.3528 1124.36 -48.9642
57.4600 72.1200 492469.80 392.4767 1126.72 -48.9515
57.4600 72.1400 492853.83 392.6006 1124.98 -48.9549
57.4600 72.1600 493201.12 392.7246 1127.35 -48.9422
57.4600 72.1800 493548.61 392.8486 1129.72 -48.9295
57.4600 72.2000 493933.38 392.9727 1127.99 -48.9328
57.4600 72.2200 494281.31 393.0968 1130.38 -48.9200
57.4600 72.2400 494666.56 393.2210 1128.66 -48.9233
57.4600 72.2600 495014.95 393.3453 1131.05 -48.9105
57.4600 72.2800 495400.68 393.4695 1129.34 -48.9138
57.4600 72.3000 495749.52 393.5939 1131.74 -48.9010
57.4600 72.3200 496135.74 393.7182 1130.03 -48.9042
57.4600 72.3400 496485.02 393.8427 1132.45 -48.8914
57.4600 72.3600 496871.72 393.9672 1130.74 -48.8946
57.4600 72.3800 497221.47 394.0917 1133.17 -48.8817
57.4600 72.4000 497608.65 394.2163 1131.47 -48.8848
57.4600 72.4200 497958.85 394.3409 1133.91 -48.8719
57.4600 72.4400 498346.52 394.4656 1132.21 -48.8751
57.4600 72.4600 498697.18 394.5903 1134.66 -48.8621
57.4600 72.4800 499085.34 394.7151 1132.98 -48.8652
57.4600 72.5000 499436.45 394.8399 1135.43 -48.8523
57.4600 72.5200 499825.10 394.9648 1133.75 -48.8553
57.4600 72.5400 500176.66 395.0897 1136.22 -48.8424
57.4600 72.5600 500565.80 395.2147 1134.55 -48.8454
57.4600 72.5800 500917.82 395.3397 1137.03 -48.8324
57.4600 72.6000 501307.44 395.4648 1135.36 -48.8354
57.4600 72.6200 501659.92 395.5899 1137.85 -48.8223
57.4600 72.6400 502050.03 395.7151 1136.19 -48.8253
57.4600 72.6600 502402.96 395.8403 1138.69 -48.8122
57.4600 72.6800 502793.56 395.9656 1137.04 -48.8151
57.4600 72.7000 503146.94 396.0909 1139.55 -48.8021
57.4600 72.7200 503538.04 396.2163 1137.90 -48.8049
57.4600 72.7400 503891.88 396.3417 1140.42 -48.7918
57.4600 72.7600 504283.46 396.4672 1138.78 -48.7947
57.4600 72.7800 504637.76 396.5927 1141.31 -48.7815
57.4600 72.8000 505029.84 396.7183 1139.68 -48.7843
57.4600 72.8200 505384.59 396.8439 1142.22 -48.7712
57.4600 72.8400 505777.16 396.9696 1140.59 -48.7740
57.4600 72.8600 506132.37 397.0953 1143.15 -48.7608
57.4600 72.8800 506525.44 397.2211 1141.52 -48.7635
57.4600 72.9000 506881.10 397.3469 1144.09 -48.7503
57.4600 72.9200 507274.66 397.4728 1142.47 -48.7530
57.4600 72.9400 507630.78 397.5987 1145.05 -48.7398
57.4600 72.9600 508024.85 397.7247 1143.44 -48.7424
57.4600 72.9800 508419.13 397.8507 1141.84 -48.7451
57.4600 73.0000 508775.98 397.9768 1144.43 -48.7318
57.4600 73.0200 509170.77 398.1029 1142.83 -48.7344
57.4600 73.0400 509528.08 398.2291 1145.43 -48.7211
57.4600 73.0600 509923.37 398.3554 1143.84 -48.7237
57.4600 73.0800 510281.14 398.4817 1146.45 -48.7103
57.4600 73.1000 510676.93 398.6080 1144.87 -48.7129
57.4600 73.1200 511035.18 398.7344 1147.49 -48.6995
57.4600 73.1400 511431.48 398.8608 1145.91 -48.7020
57.4600 73.1600 511790.18 398.9873 1148.55 -48.6887
57.4600 73.1800 512186.99 399.1139 1146.98 -48.6911
57.4600 73.2000 512546.16 399.2405 1149.63 -48.6777
57.4600 73.2200 512943.48 399.3672 1148.06 -48.6801
57.4600 73.2400 513303.12 399.4939 1150.72 -48.6667
57.4600 73.2600 513700.95 399.6206 1149.16 -48.6691
57.4600 73.2800 514061.06 399.7474 1151.84 -48.6556
57.4600 73.3000 514459.40 399.8743 1150.28 -48.6580
57.4600 73.3200 514857.97 400.0012 1148.74 -48.6603
57.4600 73.3400 515218.83 400.1282 1151.43 -48.6468
57.4600 73.3600 515617.91 400.2552 1149.88 -48.6491
57.4600 73.3800 515979.23 400.3823 1152.59 -48.6356
57.4600 73.4000 516378.83 400.5094 1151.05 -48.6378
57.4600 73.4200 516740.62 400.6366 1153.77 -48.6243
57.4600 73.4400 517140.74 400.7639 1152.24 -48.6265
57.4600 73.4600 517503.00 400.8912 1154.96 -48.6129
57.4600 73.4800 517903.63 401.0185 1153.44 -48.6151
57.4600 73.5000 518266.36 401.1459 1156.18 -48.6015
