# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_1
#Generated on Thu Jan 14 13:00:44 2010
#loft_angle burn_time ground_range time_of_flight
84.6500 43.0200 34977.45 149.5481
84.6500 43.0400 35034.89 149.6227
84.6500 43.0600 35081.10 149.6974
84.6500 43.0800 35138.67 149.7720
84.6500 43.1000 35184.99 149.8466
84.6500 43.1200 35242.69 149.9213
84.6500 43.1400 35289.12 149.9960
84.6500 43.1600 35346.94 150.0707
84.6500 43.1800 35393.49 150.1454
84.6500 43.2000 35451.45 150.2201
84.6500 43.2200 35498.10 150.2949
84.6500 43.2400 35556.19 150.3696
84.6500 43.2600 35602.95 150.4444
84.6500 43.2800 35661.18 150.5192
84.6500 43.3000 35708.05 150.5940
84.6500 43.3200 35766.41 150.6688
84.6500 43.3400 35813.40 150.7436
84.6500 43.3600 35871.89 150.8185
84.6500 43.3800 35918.99 150.8933
84.6500 43.4000 35977.61 150.9682
84.6500 43.4200 36024.83 151.0431
84.6500 43.4400 36083.58 151.1180
84.6500 43.4600 36130.92 151.1929
84.6500 43.4800 36189.80 151.2678
84.6500 43.5000 36237.25 151.3427
84.6500 43.5200 36296.28 151.4177
84.6500 43.5400 36343.84 151.4927
84.6500 43.5600 36403.00 151.5677
84.6500 43.5800 36450.66 151.6427
84.6500 43.6000 36509.93 151.7177
84.6500 43.6200 36557.69 151.7927
84.6500 43.6400 36617.07 151.8677
84.6500 43.6600 36664.93 151.9428
84.6500 43.6800 36724.45 152.0179
84.6500 43.7000 36772.41 152.0930
84.6500 43.7200 36832.05 152.1681
84.6500 43.7400 36880.13 152.2432
84.6500 43.7600 36939.90 152.3183
84.6500 43.7800 36988.08 152.3934
84.6500 43.8000 37047.98 152.4686
84.6500 43.8200 37096.28 152.5438
84.6500 43.8400 37156.30 152.6190
84.6500 43.8600 37204.71 152.6942
84.6500 43.8800 37264.87 152.7694
84.6500 43.9000 37313.39 152.8446
84.6500 43.9200 37373.68 152.9199
84.6500 43.9400 37422.31 152.9951
84.6500 43.9600 37482.73 153.0704
84.6500 43.9800 37531.48 153.1457
84.6500 44.0000 37592.04 153.2210
84.6500 44.0200 37640.90 153.2963
84.6500 44.0400 37701.59 153.3717
84.6500 44.0600 37750.56 153.4470
84.6500 44.0800 37811.39 153.5224
