# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_SRBM_4
#Generated on Wed Apr 14 12:05:27 2010
#loft_angle burn_time ground_range time_of_flight impact_speed impact angle
57.0700 127.9400 1402479.55 624.1187 696.22 -42.2544
57.0700 127.9600 1403143.29 624.2565 695.29 -42.2577
57.0700 127.9800 1403781.65 624.3945 698.65 -42.2313
57.0700 128.0000 1404446.21 624.5325 697.74 -42.2345
57.0700 128.0200 1405111.16 624.6706 696.83 -42.2377
57.0700 128.0400 1405776.50 624.8087 695.93 -42.2408
57.0700 128.0600 1406416.43 624.9470 699.32 -42.2143
57.0700 128.0800 1407082.59 625.0853 698.43 -42.2173
57.0700 128.1000 1407749.14 625.2237 697.55 -42.2203
57.0700 128.1200 1408416.09 625.3621 696.67 -42.2233
57.0700 128.1400 1409083.43 625.5006 695.81 -42.2262
57.0700 128.1600 1409725.37 625.6393 699.23 -42.1994
57.0700 128.1800 1410393.53 625.7780 698.37 -42.2022
57.0700 128.2000 1411062.10 625.9167 697.52 -42.2050
57.0700 128.2200 1411731.05 626.0555 696.67 -42.2077
57.0700 128.2400 1412374.57 626.1944 700.13 -42.1808
57.0700 128.2600 1413044.35 626.3334 699.29 -42.1834
57.0700 128.2800 1413714.54 626.4725 698.46 -42.1860
57.0700 128.3000 1414385.12 626.6116 697.64 -42.1886
57.0700 128.3200 1415056.10 626.7508 696.83 -42.1911
57.0700 128.3400 1415701.63 626.8900 700.32 -42.1639
57.0700 128.3600 1416373.44 627.0294 699.51 -42.1664
57.0700 128.3800 1417045.65 627.1688 698.72 -42.1687
57.0700 128.4000 1417718.26 627.3083 697.93 -42.1711
57.0700 128.4200 1418365.37 627.4479 701.45 -42.1437
57.0700 128.4400 1419038.82 627.5875 700.67 -42.1460
57.0700 128.4600 1419712.67 627.7273 699.90 -42.1482
57.0700 128.4800 1420386.92 627.8671 699.13 -42.1503
57.0700 128.5000 1421061.58 628.0069 698.37 -42.1524
57.0700 128.5200 1421710.71 628.1469 701.93 -42.1249
57.0700 128.5400 1422386.20 628.2869 701.18 -42.1269
57.0700 128.5600 1423062.10 628.4270 700.44 -42.1289
57.0700 128.5800 1423738.40 628.5672 699.71 -42.1308
57.0700 128.6000 1424415.11 628.7074 698.98 -42.1327
57.0700 128.6200 1425066.27 628.8477 702.58 -42.1049
57.0700 128.6400 1425743.82 628.9881 701.86 -42.1067
57.0700 128.6600 1426421.78 629.1286 701.15 -42.1085
57.0700 128.6800 1427100.14 629.2692 700.45 -42.1102
57.0700 128.7000 1427778.92 629.4098 699.75 -42.1118
57.0700 128.7200 1428458.10 629.5505 699.07 -42.1134
57.0700 128.7400 1429111.72 629.6913 702.70 -42.0854
57.0700 128.7600 1429791.75 629.8322 702.02 -42.0869
57.0700 128.7800 1430472.19 629.9731 701.35 -42.0884
57.0700 128.8000 1431153.04 630.1141 700.69 -42.0898
57.0700 128.8200 1431834.30 630.2552 700.03 -42.0912
57.0700 128.8400 1432489.96 630.3963 703.71 -42.0630
57.0700 128.8600 1433172.07 630.5376 703.06 -42.0642
57.0700 128.8800 1433854.60 630.6789 702.42 -42.0655
57.0700 128.9000 1434537.53 630.8203 701.79 -42.0667
57.0700 128.9200 1435220.89 630.9618 701.17 -42.0678
57.0700 128.9400 1435904.65 631.1033 700.55 -42.0689
57.0700 128.9600 1436562.79 631.2449 704.27 -42.0404
57.0700 128.9800 1437247.41 631.3866 703.67 -42.0414
57.0700 129.0000 1437932.44 631.5284 703.07 -42.0424
57.0700 129.0200 1438617.90 631.6703 702.47 -42.0433
57.0700 129.0400 1439303.77 631.8122 701.89 -42.0442
57.0700 129.0600 1439990.05 631.9542 701.31 -42.0450
57.0700 129.0800 1440650.67 632.0963 705.08 -42.0163
57.0700 129.1000 1441337.82 632.2385 704.51 -42.0170
57.0700 129.1200 1442025.38 632.3807 703.95 -42.0177
57.0700 129.1400 1442713.37 632.5230 703.40 -42.0183
57.0700 129.1600 1443401.77 632.6654 702.85 -42.0189
57.0700 129.1800 1444090.59 632.8079 702.31 -42.0195
57.0700 129.2000 1444779.84 632.9504 701.78 -42.0200
57.0700 129.2200 1445443.39 633.0931 705.60 -41.9909
57.0700 129.2400 1446133.50 633.2358 705.08 -41.9913
57.0700 129.2600 1446824.03 633.3786 704.56 -41.9917
57.0700 129.2800 1447514.98 633.5215 704.06 -41.9920
57.0700 129.3000 1448206.36 633.6644 703.56 -41.9922
57.0700 129.3200 1448898.16 633.8074 703.06 -41.9925
57.0700 129.3400 1449590.39 633.9505 702.58 -41.9926
57.0700 129.3600 1450256.88 634.0937 706.46 -41.9633
57.0700 129.3800 1450949.98 634.2370 705.98 -41.9633
57.0700 129.4000 1451643.50 634.3803 705.51 -41.9634
57.0700 129.4200 1452337.44 634.5238 705.05 -41.9633
57.0700 129.4400 1453031.82 634.6673 704.60 -41.9633
57.0700 129.4600 1453726.62 634.8108 704.16 -41.9632
57.0700 129.4800 1454421.85 634.9545 703.72 -41.9630
57.0700 129.5000 1455091.29 635.0982 707.65 -41.9333
57.0700 129.5200 1455787.39 635.2420 707.23 -41.9331
57.0700 129.5400 1456483.92 635.3859 706.81 -41.9328
57.0700 129.5600 1457180.88 635.5299 706.39 -41.9324
57.0700 129.5800 1457878.28 635.6740 705.99 -41.9320
57.0700 129.6000 1458576.10 635.8181 705.59 -41.9316
57.0700 129.6200 1459274.35 635.9623 705.20 -41.9311
57.0700 129.6400 1459973.04 636.1066 704.81 -41.9305
57.0700 129.6600 1460672.16 636.2510 704.44 -41.9300
57.0700 129.6800 1461345.45 636.3954 708.44 -41.8999
57.0700 129.7000 1462045.45 636.5400 708.08 -41.8992
57.0700 129.7200 1462745.88 636.6846 707.72 -41.8985
57.0700 129.7400 1463446.75 636.8293 707.37 -41.8977
57.0700 129.7600 1464148.05 636.9741 707.03 -41.8968
57.0700 129.7800 1464849.78 637.1189 706.69 -41.8960
57.0700 129.8000 1465551.96 637.2639 706.36 -41.8951
57.0700 129.8200 1466254.57 637.4089 706.04 -41.8941
57.0700 129.8400 1466957.61 637.5540 705.72 -41.8931
57.0700 129.8600 1467634.77 637.6992 709.81 -41.8626
57.0700 129.8800 1468338.70 637.8444 709.50 -41.8615
57.0700 129.9000 1469043.07 637.9898 709.21 -41.8603
57.0700 129.9200 1469747.88 638.1352 708.92 -41.8591
57.0700 129.9400 1470453.13 638.2807 708.64 -41.8578
57.0700 129.9600 1471158.81 638.4263 708.37 -41.8565
57.0700 129.9800 1471864.94 638.5720 708.10 -41.8552
57.0700 130.0000 1472571.51 638.7177 707.84 -41.8538
57.0700 130.0200 1473278.52 638.8636 707.59 -41.8523
57.0700 130.0400 1473985.97 639.0095 707.35 -41.8508
57.0700 130.0600 1474693.86 639.1555 707.11 -41.8493
57.0700 130.0800 1475402.20 639.3015 706.88 -41.8477
57.0700 130.1000 1476084.59 639.4477 711.06 -41.8166
57.0700 130.1200 1476793.82 639.5939 710.84 -41.8149
57.0700 130.1400 1477503.49 639.7403 710.63 -41.8132
57.0700 130.1600 1478213.61 639.8867 710.43 -41.8114
57.0700 130.1800 1478924.18 640.0332 710.23 -41.8096
57.0700 130.2000 1479635.19 640.1798 710.05 -41.8077
57.0700 130.2200 1480346.64 640.3264 709.87 -41.8057
57.0700 130.2400 1481058.55 640.4732 709.69 -41.8037
57.0700 130.2600 1481770.89 640.6200 709.53 -41.8017
57.0700 130.2800 1482483.69 640.7669 709.37 -41.7996
57.0700 130.3000 1483196.94 640.9139 709.22 -41.7975
57.0700 130.3200 1483910.63 641.0609 709.07 -41.7953
57.0700 130.3400 1484624.77 641.2081 708.94 -41.7930
57.0700 130.3600 1485339.36 641.3553 708.81 -41.7908
57.0700 130.3800 1486054.41 641.5026 708.69 -41.7884
57.0700 130.4000 1486769.90 641.6500 708.57 -41.7861
57.0700 130.4200 1487459.36 641.7975 712.89 -41.7543
57.0700 130.4400 1488175.76 641.9451 712.79 -41.7518
57.0700 130.4600 1488892.61 642.0927 712.69 -41.7493
57.0700 130.4800 1489609.91 642.2405 712.61 -41.7467
57.0700 130.5000 1490327.66 642.3883 712.53 -41.7441
57.0700 130.5200 1491045.87 642.5362 712.46 -41.7414
57.0700 130.5400 1491764.53 642.6842 712.40 -41.7387
57.0700 130.5600 1492483.65 642.8323 712.34 -41.7359
57.0700 130.5800 1493203.22 642.9804 712.29 -41.7330
57.0700 130.6000 1493923.25 643.1287 712.25 -41.7302
57.0700 130.6200 1494643.73 643.2770 712.22 -41.7272
57.0700 130.6400 1495364.67 643.4254 712.19 -41.7243
57.0700 130.6600 1496086.06 643.5739 712.17 -41.7212
57.0700 130.6800 1496807.92 643.7225 712.16 -41.7182
57.0700 130.7000 1497530.23 643.8712 712.16 -41.7150
57.0700 130.7200 1498252.99 644.0199 712.16 -41.7118
57.0700 130.7400 1498976.22 644.1688 712.18 -41.7086
57.0700 130.7600 1499699.91 644.3177 712.20 -41.7053
57.0700 130.7800 1500424.05 644.4667 712.22 -41.7020
57.0700 130.8000 1501148.66 644.6158 712.26 -41.6986
57.0700 130.8200 1501873.72 644.7650 712.30 -41.6952
57.0700 130.8400 1502599.25 644.9142 712.35 -41.6917
57.0700 130.8600 1503325.24 645.0636 712.41 -41.6882
57.0700 130.8800 1504051.69 645.2130 712.47 -41.6846
