# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_ICBM_2
#Generated on Thu Jan 14 13:16:17 2010
#loft_angle burn_time ground_range time_of_flight
89.5900 295.4000 3451283.61 1020.7998
89.5900 295.4200 3453057.53 1021.0693
89.5900 295.4400 3454831.12 1021.3391
89.5900 295.4600 3456608.89 1021.6091
89.5900 295.4800 3458386.32 1021.8795
89.5900 295.5000 3460167.94 1022.1502
89.5900 295.5200 3461949.24 1022.4212
89.5900 295.5400 3463732.47 1022.6924
89.5900 295.5600 3465519.91 1022.9640
89.5900 295.5800 3467307.02 1023.2358
89.5900 295.6000 3469098.34 1023.5080
89.5900 295.6200 3470889.36 1023.7804
89.5900 295.6400 3472684.59 1024.0532
89.5900 295.6600 3474479.51 1024.3262
89.5900 295.6800 3476276.39 1024.5996
89.5900 295.7000 3478077.50 1024.8732
89.5900 295.7200 3479878.31 1025.1472
89.5900 295.7400 3481683.36 1025.4214
89.5900 295.7600 3483488.12 1025.6960
89.5900 295.7800 3485297.12 1025.9708
89.5900 295.8000 3487105.84 1026.2460
89.5900 295.8200 3488918.81 1026.5215
89.5900 295.8400 3490731.50 1026.7972
89.5900 295.8600 3492548.45 1027.0733
89.5900 295.8800 3494365.12 1027.3497
89.5900 295.9000 3496186.07 1027.6264
89.5900 295.9200 3498009.01 1027.9034
89.5900 295.9400 3499831.70 1028.1807
89.5900 295.9600 3501658.65 1028.4583
89.5900 295.9800 3503485.36 1028.7362
89.5900 296.0000 3505316.35 1029.0144
89.5900 296.0200 3507147.10 1029.2929
89.5900 296.0400 3508982.13 1029.5718
89.5900 296.0600 3510819.19 1029.8509
89.5900 296.0800 3512656.02 1030.1304
89.5900 296.1000 3514497.15 1030.4102
89.5900 296.1200 3516338.05 1030.6903
89.5900 296.1400 3518183.26 1030.9707
89.5900 296.1600 3520030.51 1031.2514
89.5900 296.1800 3521877.55 1031.5324
89.5900 296.2000 3523728.91 1031.8138
89.5900 296.2200 3525580.06 1032.0954
89.5900 296.2400 3527435.53 1032.3774
89.5900 296.2600 3529293.07 1032.6597
89.5900 296.2800 3531150.42 1032.9423
89.5900 296.3000 3533012.09 1033.2252
89.5900 296.3200 3534875.84 1033.5085
89.5900 296.3400 3536739.41 1033.7921
89.5900 296.3600 3538607.33 1034.0759
89.5900 296.3800 3540477.32 1034.3601
89.5900 296.4000 3542347.16 1034.6447
89.5900 296.4200 3544221.34 1034.9295
89.5900 296.4400 3546097.62 1035.2147
89.5900 296.4600 3547976.00 1035.5002
89.5900 296.4800 3549854.24 1035.7860
89.5900 296.5000 3551736.83 1036.0721
89.5900 296.5200 3553621.54 1036.3586
89.5900 296.5400 3555506.11 1036.6454
89.5900 296.5600 3557395.06 1036.9325
89.5900 296.5800 3559286.14 1037.2199
89.5900 296.6000 3561179.33 1037.5077
89.5900 296.6200 3563072.41 1037.7958
89.5900 296.6400 3564969.88 1038.0842
89.5900 296.6600 3566869.49 1038.3730
89.5900 296.6800 3568771.25 1038.6621
89.5900 296.7000 3570675.15 1038.9515
89.5900 296.7200 3572578.95 1039.2412
89.5900 296.7400 3574487.15 1039.5313
89.5900 296.7600 3576397.52 1039.8217
89.5900 296.7800 3578310.05 1040.1124
89.5900 296.8000 3580224.75 1040.4035
89.5900 296.8200 3582139.37 1040.6949
89.5900 296.8400 3584058.42 1040.9866
89.5900 296.8600 3585979.64 1041.2787
89.5900 296.8800 3587903.05 1041.5711
89.5900 296.9000 3589828.64 1041.8638
89.5900 296.9200 3591756.43 1042.1569
89.5900 296.9400 3593686.41 1042.4503
89.5900 296.9600 3595616.34 1042.7441
89.5900 296.9800 3597550.73 1043.0382
89.5900 297.0000 3599487.32 1043.3326
89.5900 297.0200 3601426.13 1043.6274
89.5900 297.0400 3603367.15 1043.9225
89.5900 297.0600 3605310.39 1044.2180
89.5900 297.0800 3607255.85 1044.5138
89.5900 297.1000 3609203.54 1044.8099
89.5900 297.1200 3611153.47 1045.1064
89.5900 297.1400 3613105.62 1045.4032
89.5900 297.1600 3615060.02 1045.7004
89.5900 297.1800 3617014.42 1045.9979
89.5900 297.2000 3618973.31 1046.2958
89.5900 297.2200 3620934.46 1046.5940
89.5900 297.2400 3622897.86 1046.8925
89.5900 297.2600 3624863.53 1047.1914
89.5900 297.2800 3626831.45 1047.4907
89.5900 297.3000 3628801.65 1047.7903
89.5900 297.3200 3630774.12 1048.0903
89.5900 297.3400 3632748.87 1048.3906
89.5900 297.3600 3634725.90 1048.6912
89.5900 297.3800 3636705.22 1048.9922
89.5900 297.4000 3638686.83 1049.2936
89.5900 297.4200 3640670.73 1049.5953
89.5900 297.4400 3642656.94 1049.8974
89.5900 297.4600 3644645.44 1050.1998
89.5900 297.4800 3646638.50 1050.5026
89.5900 297.5000 3648631.63 1050.8057
89.5900 297.5200 3650627.07 1051.1092
89.5900 297.5400 3652624.83 1051.4130
89.5900 297.5600 3654624.92 1051.7172
89.5900 297.5800 3656627.34 1052.0218
89.5900 297.6000 3658632.09 1052.3267
89.5900 297.6200 3660639.17 1052.6320
89.5900 297.6400 3662648.60 1052.9377
89.5900 297.6600 3664660.38 1053.2437
89.5900 297.6800 3666676.75 1053.5500
89.5900 297.7000 3668693.24 1053.8568
89.5900 297.7200 3670712.08 1054.1639
89.5900 297.7400 3672733.29 1054.4713
89.5900 297.7600 3674756.87 1054.7792
89.5900 297.7800 3676782.82 1055.0874
89.5900 297.8000 3678811.15 1055.3959
89.5900 297.8200 3680844.11 1055.7048
89.5900 297.8400 3682877.21 1056.0141
89.5900 297.8600 3684912.70 1056.3238
89.5900 297.8800 3686950.58 1056.6338
89.5900 297.9000 3688990.87 1056.9442
89.5900 297.9200 3691035.80 1057.2550
89.5900 297.9400 3693080.90 1057.5662
89.5900 297.9600 3695128.42 1057.8777
89.5900 297.9800 3697178.35 1058.1896
89.5900 298.0000 3699232.95 1058.5018
89.5900 298.0200 3701287.73 1058.8145
89.5900 298.0400 3703344.95 1059.1275
89.5900 298.0600 3705404.61 1059.4409
89.5900 298.0800 3707468.94 1059.7547
89.5900 298.1000 3709533.48 1060.0688
89.5900 298.1200 3711600.48 1060.3833
89.5900 298.1400 3713669.93 1060.6982
89.5900 298.1600 3715744.07 1061.0135
89.5900 298.1800 3717818.45 1061.3292
89.5900 298.2000 3719895.29 1061.6452
89.5900 298.2200 3721976.85 1061.9617
89.5900 298.2400 3724058.65 1062.2785
89.5900 298.2600 3726142.93 1062.5957
89.5900 298.2800 3728231.93 1062.9133
89.5900 298.3000 3730321.20 1063.2312
89.5900 298.3200 3732412.96 1063.5496
89.5900 298.3400 3734509.46 1063.8683
89.5900 298.3600 3736606.24 1064.1874
89.5900 298.3800 3738707.76 1064.5070
89.5900 298.4000 3740809.56 1064.8269
89.5900 298.4200 3742913.88 1065.1472
89.5900 298.4400 3745022.97 1065.4678
89.5900 298.4600 3747132.35 1065.7889
89.5900 298.4800 3749246.51 1066.1104
89.5900 298.5000 3751360.97 1066.4322
89.5900 298.5200 3753480.21 1066.7545
89.5900 298.5400 3755599.78 1067.0771
89.5900 298.5600 3757724.13 1067.4002
89.5900 298.5800 3759848.81 1067.7236
89.5900 298.6000 3761976.05 1068.0475
89.5900 298.6200 3764108.10 1068.3717
89.5900 298.6400 3766240.49 1068.6963
89.5900 298.6600 3768377.70 1069.0214
89.5900 298.6800 3770515.26 1069.3468
89.5900 298.7000 3772657.64 1069.6726
89.5900 298.7200 3774800.39 1069.9989
89.5900 298.7400 3776947.97 1070.3255
89.5900 298.7600 3779098.16 1070.6526
89.5900 298.7800 3781248.73 1070.9800
89.5900 298.8000 3783404.14 1071.3078
89.5900 298.8200 3785559.95 1071.6361
89.5900 298.8400 3787720.61 1071.9648
89.5900 298.8600 3789881.67 1072.2938
89.5900 298.8800 3792047.60 1072.6233
89.5900 298.9000 3794216.17 1072.9532
89.5900 298.9200 3796385.17 1073.2835
89.5900 298.9400 3798559.04 1073.6142
89.5900 298.9600 3800733.34 1073.9453
89.5900 298.9800 3802912.53 1074.2769
89.5900 299.0000 3805094.39 1074.6088
89.5900 299.0200 3807276.70 1074.9412
89.5900 299.0400 3809463.91 1075.2740
89.5900 299.0600 3811653.80 1075.6072
89.5900 299.0800 3813844.16 1075.9408
89.5900 299.1000 3816039.44 1076.2748
89.5900 299.1200 3818237.42 1076.6092
89.5900 299.1400 3820435.87 1076.9441
89.5900 299.1600 3822639.27 1077.2794
89.5900 299.1800 3824845.37 1077.6151
89.5900 299.2000 3827054.20 1077.9512
89.5900 299.2200 3829263.53 1078.2878
89.5900 299.2400 3831477.82 1078.6247
89.5900 299.2600 3833694.84 1078.9621
89.5900 299.2800 3835912.38 1079.3000
89.5900 299.3000 3838134.89 1079.6382
89.5900 299.3200 3840360.16 1079.9769
89.5900 299.3400 3842588.18 1080.3160
89.5900 299.3600 3844818.97 1080.6555
89.5900 299.3800 3847050.31 1080.9955
89.5900 299.4000 3849286.64 1081.3359
89.5900 299.4200 3851525.76 1081.6767
89.5900 299.4400 3853767.66 1082.0180
89.5900 299.4600 3856012.35 1082.3597
89.5900 299.4800 3858259.83 1082.7018
89.5900 299.5000 3860507.91 1083.0444
89.5900 299.5200 3862761.01 1083.3874
89.5900 299.5400 3865016.92 1083.7308
89.5900 299.5600 3867275.65 1084.0747
89.5900 299.5800 3869537.21 1084.4190
89.5900 299.6000 3871801.60 1084.7637
89.5900 299.6200 3874068.83 1085.1089
89.5900 299.6400 3876338.89 1085.4546
89.5900 299.6600 3878611.81 1085.8006
89.5900 299.6800 3880885.36 1086.1472
89.5900 299.7000 3883163.99 1086.4941
89.5900 299.7200 3885445.48 1086.8415
89.5900 299.7400 3887729.85 1087.1894
89.5900 299.7600 3890017.09 1087.5377
89.5900 299.7800 3892307.21 1087.8864
89.5900 299.8000 3894600.22 1088.2356
89.5900 299.8200 3896896.13 1088.5853
89.5900 299.8400 3899194.93 1088.9354
89.5900 299.8600 3901496.64 1089.2859
89.5900 299.8800 3903801.26 1089.6369
89.5900 299.9000 3906108.80 1089.9884
89.5900 299.9200 3908419.27 1090.3403
89.5900 299.9400 3910732.66 1090.6927
89.5900 299.9600 3913048.98 1091.0455
89.5900 299.9800 3915368.25 1091.3988
89.5900 300.0000 3917692.68 1091.7525
89.5900 300.0200 3920017.85 1092.1067
89.5900 300.0400 3922345.97 1092.4614
89.5900 300.0600 3924677.06 1092.8165
89.5900 300.0800 3927011.12 1093.1721
89.5900 300.1000 3929348.16 1093.5282
89.5900 300.1200 3931688.18 1093.8847
89.5900 300.1400 3934031.19 1094.2416
89.5900 300.1600 3936377.20 1094.5991
89.5900 300.1800 3938728.42 1094.9570
89.5900 300.2000 3941080.43 1095.3154
89.5900 300.2200 3943435.46 1095.6742
89.5900 300.2400 3945793.50 1096.0335
