# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Air target launch data for BLUE_LR_SAM
#Generated on Mon Apr 19 14:34:08 2010
#ground_range altitude time_of_flight speed flight_path_angle
20.0000
 98000.75 59831.97 70.0000 1632.68 14.8186
 98782.51 60039.58 70.5000 1631.21 14.6618
 99564.10 60244.85 71.0000 1629.76 14.5048
 100345.53 60447.77 71.5000 1628.33 14.3474
 101126.81 60648.35 72.0000 1626.91 14.1899
 101907.93 60846.59 72.5000 1625.52 14.0321
 102688.90 61042.49 73.0000 1624.15 13.8740
 103469.72 61236.04 73.5000 1622.79 13.7157
 104250.39 61427.26 74.0000 1621.45 13.5572
 105030.93 61616.13 74.5000 1620.13 13.3984
 105811.32 61802.67 75.0000 1618.83 13.2394
 106591.58 61986.88 75.5000 1617.55 13.0801
 107371.71 62168.75 76.0000 1616.28 12.9206
 108151.72 62348.28 76.5000 1615.04 12.7613
 108931.59 62525.48 77.0000 1613.81 12.6013
 109711.33 62700.35 77.5000 1612.59 12.4412
 110490.95 62872.89 78.0000 1611.40 12.2808
 111270.46 63043.09 78.5000 1610.22 12.1202
 112049.84 63210.96 79.0000 1609.06 11.9594
 112829.11 63376.51 79.5000 1607.91 11.7984
 113608.27 63539.72 80.0000 1606.78 11.6372
 114387.32 63700.61 80.5000 1605.67 11.4757
 115166.26 63859.17 81.0000 1604.58 11.3141
 115945.09 64015.40 81.5000 1603.50 11.1523
 116723.82 64169.30 82.0000 1602.44 10.9902
 117502.44 64320.88 82.5000 1601.39 10.8280
 118280.96 64470.13 83.0000 1600.36 10.6655
 119059.39 64617.06 83.5000 1599.35 10.5029
 119837.72 64761.66 84.0000 1598.35 10.3401
 120615.95 64903.94 84.5000 1597.37 10.1771
 121394.09 65043.89 85.0000 1596.41 10.0139
 122172.14 65181.52 85.5000 1595.46 9.8505
 122950.10 65316.83 86.0000 1594.53 9.6870
 123727.97 65449.82 86.5000 1593.61 9.5233
 124505.76 65580.48 87.0000 1592.71 9.3594
 125283.46 65708.82 87.5000 1591.82 9.1953
 126061.08 65834.85 88.0000 1590.95 9.0311
 126838.61 65958.55 88.5000 1590.10 8.8667
 127616.06 66079.93 89.0000 1589.26 8.7021
 128393.44 66198.99 89.5000 1588.44 8.5374
 129170.73 66315.73 90.0000 1587.63 8.3725
 129947.96 66430.15 90.5000 1586.84 8.2075
 130725.10 66542.26 91.0000 1586.06 8.0423
 131502.17 66652.04 91.5000 1585.30 7.8770
 132279.17 66759.51 92.0000 1584.55 7.7115
 133056.10 66864.65 92.5000 1583.82 7.5459
 133832.96 66967.49 93.0000 1583.11 7.3801
 134609.75 67068.00 93.5000 1582.41 7.2142
 135386.47 67166.19 94.0000 1581.72 7.0482
 136163.13 67262.07 94.5000 1581.05 6.8821
 136939.72 67355.64 95.0000 1580.39 6.7158
 137716.25 67446.88 95.5000 1579.75 6.5494
 138492.72 67535.81 96.0000 1579.13 6.3828
 139269.12 67622.42 96.5000 1578.52 6.2162
 140045.46 67706.72 97.0000 1577.92 6.0494
 140821.74 67788.71 97.5000 1577.34 5.8825
 141597.97 67868.37 98.0000 1576.78 5.7155
 142374.14 67945.72 98.5000 1576.23 5.5484
 143150.25 68020.76 99.0000 1575.69 5.3812
 143926.30 68093.48 99.5000 1575.17 5.2138
 144702.30 68163.89 100.0000 1574.67 5.0464
 145478.25 68231.99 100.5000 1574.17 4.8789
 146254.14 68297.77 101.0000 1573.70 4.7113
 147029.98 68361.23 101.5000 1573.24 4.5436
 147805.77 68422.38 102.0000 1572.79 4.3758
 148581.51 68481.22 102.5000 1572.36 4.2079
 149357.20 68537.75 103.0000 1571.94 4.0400
 150132.85 68591.96 103.5000 1571.54 3.8719
 150908.44 68643.86 104.0000 1571.15 3.7038
 151683.99 68693.44 104.5000 1570.78 3.5356
 152459.49 68740.72 105.0000 1570.42 3.3674
 153234.95 68785.68 105.5000 1570.07 3.1990
 154010.36 68828.33 106.0000 1569.74 3.0307
 154785.73 68868.66 106.5000 1569.43 2.8622
 155561.06 68906.68 107.0000 1569.13 2.6937
 156336.34 68942.40 107.5000 1568.84 2.5251
 157111.59 68975.79 108.0000 1568.57 2.3565
 157886.79 69006.88 108.5000 1568.31 2.1878
 158661.95 69035.66 109.0000 1568.07 2.0191
 159437.07 69062.12 109.5000 1567.84 1.8504
 160212.16 69086.27 110.0000 1567.63 1.6816
 160987.21 69108.11 110.5000 1567.43 1.5127
 161762.22 69127.64 111.0000 1567.24 1.3439
 162537.19 69144.86 111.5000 1567.07 1.1750
 163312.13 69159.77 112.0000 1566.92 1.0061
 164087.03 69172.36 112.5000 1566.78 0.8371
 164861.90 69182.65 113.0000 1566.65 0.6681
 165636.73 69190.62 113.5000 1566.53 0.4991
 166411.53 69196.28 114.0000 1566.44 0.3301
 167186.30 69199.64 114.5000 1566.35 0.1611
 167961.04 69200.68 115.0000 1566.28 -0.0079
-1.00 -1.00 -1.0000 -1.00 -1.0000
20.2000
 15693.48 17197.74 20.0000 2708.99 41.6865
 16729.35 18118.35 20.5000 2844.68 41.4178
 17822.07 19080.73 21.0000 2991.22 41.1628
 18976.11 20088.43 21.5000 3150.02 40.9213
 20155.03 21109.52 22.0000 3023.07 40.6842
 21262.49 22060.59 22.5000 2836.17 40.4294
 22311.76 22953.45 23.0000 2691.92 40.1580
 23316.13 23799.83 23.5000 2577.23 39.8722
 24285.03 24608.00 24.0000 2483.91 39.5737
 25225.37 25383.99 24.5000 2406.53 39.2639
 26142.37 26132.39 25.0000 2341.36 38.9439
 27040.12 26856.70 25.5000 2285.74 38.6149
 27921.82 27559.71 26.0000 2237.80 38.2776
 28790.04 28243.62 26.5000 2196.06 37.9327
 29646.90 28910.24 27.0000 2159.38 37.5810
 30494.13 29561.04 27.5000 2126.95 37.2229
 31333.18 30197.24 28.0000 2098.06 36.8590
 32165.26 30819.86 28.5000 2072.14 36.4896
 32991.40 31429.76 29.0000 2048.78 36.1152
 33812.47 32027.66 29.5000 2027.61 35.7361
 34629.23 32614.18 30.0000 2008.34 35.3525
 35442.35 33189.86 30.5000 1990.77 34.9648
 36252.39 33755.18 31.0000 1974.64 34.5732
 37059.86 34310.51 31.5000 1959.79 34.1779
 37865.16 34856.22 32.0000 1946.01 33.7790
 38668.67 35392.57 32.5000 1933.21 33.3769
 39470.69 35919.84 33.0000 1921.23 32.9716
 40271.51 36438.22 33.5000 1909.99 32.5632
 41071.34 36947.91 34.0000 1899.40 32.1518
 41870.40 37449.06 34.5000 1889.37 31.7377
 42668.84 37941.81 35.0000 1879.83 31.3208
 43466.81 38426.29 35.5000 1870.73 30.9013
 44264.43 38902.58 36.0000 1862.01 30.4792
 45061.81 39370.77 36.5000 1853.63 30.0545
 45859.01 39830.94 37.0000 1845.54 29.6274
 46656.10 40283.15 37.5000 1837.70 29.1979
 47453.14 40727.44 38.0000 1830.07 28.7660
 48250.14 41163.86 38.5000 1822.64 28.3321
 49047.13 41592.52 39.0000 1815.51 27.9097
 49844.06 42013.78 39.5000 1808.74 27.5050
 50640.90 42427.95 40.0000 1802.29 27.1165
 51437.61 42835.36 40.5000 1796.13 26.7425
 52234.18 43236.27 41.0000 1790.26 26.3823
 53030.59 43630.95 41.5000 1784.64 26.0343
 53826.82 44019.64 42.0000 1779.25 25.6979
 54622.85 44402.55 42.5000 1774.08 25.3720
 55418.67 44779.88 43.0000 1769.11 25.0556
 56214.28 45151.83 43.5000 1764.33 24.7486
 57009.66 45518.55 44.0000 1759.72 24.4496
 57804.82 45880.21 44.5000 1755.27 24.1584
 58599.74 46236.96 45.0000 1750.98 23.8745
 59394.43 46588.94 45.5000 1746.83 23.5971
 60188.88 46936.26 46.0000 1742.82 23.3260
 60983.09 47279.06 46.5000 1738.93 23.0606
 61777.06 47617.44 47.0000 1735.15 22.8000
 62570.79 47951.49 47.5000 1731.48 22.5442
 63364.27 48281.31 48.0000 1727.91 22.2928
 64157.52 48606.99 48.5000 1724.44 22.0455
 64950.52 48928.60 49.0000 1721.05 21.8021
 65743.28 49246.22 49.5000 1717.76 21.5624
 66535.80 49559.92 50.0000 1714.55 21.3260
 67328.09 49869.78 50.5000 1711.42 21.0930
 68120.14 50175.85 51.0000 1708.36 20.8630
 68911.96 50478.20 51.5000 1705.38 20.6359
 69703.55 50776.89 52.0000 1702.46 20.4115
 70494.90 51071.97 52.5000 1699.63 20.1932
 71285.92 51364.09 53.0000 1697.21 20.0470
 72076.52 51653.76 53.5000 1694.82 19.9006
 72866.72 51940.99 54.0000 1692.47 19.7537
 73656.52 52225.78 54.5000 1690.16 19.6065
 74445.93 52508.14 55.0000 1687.89 19.4590
 75234.98 52788.07 55.5000 1685.65 19.3111
 76023.66 53065.58 56.0000 1683.44 19.1629
 76811.99 53340.67 56.5000 1681.27 19.0144
 77599.99 53613.35 57.0000 1679.13 18.8655
 78387.65 53883.62 57.5000 1677.02 18.7163
 79175.00 54151.48 58.0000 1674.94 18.5668
 79962.03 54416.93 58.5000 1672.89 18.4170
 80748.76 54679.99 59.0000 1670.87 18.2668
 81535.20 54940.66 59.5000 1668.88 18.1164
 82321.35 55198.93 60.0000 1666.92 17.9656
 83107.22 55454.81 60.5000 1664.99 17.8145
 83892.82 55708.31 61.0000 1663.08 17.6631
 84678.16 55959.43 61.5000 1661.20 17.5114
 85463.24 56208.16 62.0000 1659.35 17.3594
 86248.07 56454.52 62.5000 1657.52 17.2071
 87032.65 56698.50 63.0000 1655.71 17.0545
 87817.00 56940.11 63.5000 1653.93 16.9016
 88601.12 57179.35 64.0000 1652.18 16.7484
 89385.01 57416.22 64.5000 1650.45 16.5950
 90168.68 57650.72 65.0000 1648.74 16.4412
 90952.14 57882.86 65.5000 1647.05 16.2872
 91735.39 58112.64 66.0000 1645.39 16.1328
 92518.44 58340.06 66.5000 1643.74 15.9782
 93301.29 58565.12 67.0000 1642.12 15.8234
 94083.94 58787.82 67.5000 1640.53 15.6682
 94866.40 59008.17 68.0000 1638.95 15.5128
 95648.68 59226.16 68.5000 1637.39 15.3571
 96430.78 59441.81 69.0000 1635.86 15.2012
 97212.70 59655.10 69.5000 1634.34 15.0449
 97994.45 59866.04 70.0000 1632.85 14.8885
 98776.03 60074.64 70.5000 1631.37 14.7317
 99557.44 60280.89 71.0000 1629.91 14.5747
 100338.70 60484.80 71.5000 1628.48 14.4175
 101119.79 60686.36 72.0000 1627.06 14.2600
 101900.74 60885.58 72.5000 1625.66 14.1022
 102681.53 61082.46 73.0000 1624.28 13.9442
 103462.17 61276.99 73.5000 1622.92 13.7860
 104242.67 61469.19 74.0000 1621.58 13.6275
 105023.03 61659.05 74.5000 1620.25 13.4688
 105803.25 61846.58 75.0000 1618.95 13.3099
 106583.34 62031.76 75.5000 1617.66 13.1507
 107363.29 62214.61 76.0000 1616.39 12.9913
 108143.11 62395.13 76.5000 1615.14 12.8316
 108922.81 62573.32 77.0000 1613.90 12.6717
 109702.38 62749.17 77.5000 1612.68 12.5116
 110481.83 62922.68 78.0000 1611.48 12.3513
 111261.16 63093.87 78.5000 1610.30 12.1908
 112040.37 63262.73 79.0000 1609.13 12.0300
 112819.47 63429.25 79.5000 1607.98 11.8691
 113598.46 63593.45 80.0000 1606.85 11.7079
 114377.33 63755.32 80.5000 1605.73 11.5465
 115156.10 63914.86 81.0000 1604.64 11.3849
