# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Air target launch data for BLUE_SR_SAM
#Generated on Wed Feb 03 16:41:21 2010
#ground_range altitude time_of_flight speed flight_path_angle
20.0000
 9664.10 1710.43 12.5000 1562.63 7.8915
 10451.02 1818.34 13.0000 1614.86 7.7230
 11227.58 1922.52 13.5000 1522.18 7.5519
 11961.16 2018.64 14.0000 1440.07 7.3699
 12656.63 2107.45 14.5000 1366.96 7.1771
 13318.06 2189.59 15.0000 1301.39 6.9735
 13948.88 2265.59 15.5000 1242.22 6.7593
 14552.00 2335.91 16.0000 1188.54 6.5345
 15129.94 2400.95 16.5000 1139.60 6.2993
 15684.87 2461.04 17.0000 1094.77 6.0537
 16218.69 2516.48 17.5000 1053.55 5.7977
 16733.06 2567.53 18.0000 1015.51 5.5315
 17229.45 2614.42 18.5000 980.27 5.2551
 17709.15 2657.36 19.0000 947.54 4.9684
 18173.33 2696.53 19.5000 917.04 4.6717
 18623.03 2732.09 20.0000 888.55 4.3648
 19059.16 2764.18 20.5000 861.87 4.0479
 19482.59 2792.95 21.0000 836.83 3.7211
 19894.05 2818.52 21.5000 813.27 3.3842
 20294.25 2840.98 22.0000 791.07 3.0374
 20683.82 2860.46 22.5000 770.11 2.6807
 21063.32 2877.02 23.0000 750.29 2.3142
 21433.29 2890.77 23.5000 731.51 1.9378
 21794.20 2901.77 24.0000 713.70 1.5517
 22146.51 2910.11 24.5000 696.77 1.1559
 22490.62 2915.84 25.0000 680.67 0.7503
-1.00 -1.00 -1.0000 -1.00 -1.0000
20.8000
 6147.26 1212.50 10.0000 1275.30 9.0000
 6792.24 1313.45 10.5000 1336.09 8.7927
 7467.25 1416.67 11.0000 1395.41 8.5950
 8171.53 1521.93 11.5000 1453.15 8.4058
 8904.28 1629.03 12.0000 1509.19 8.2243
 9664.64 1737.76 12.5000 1563.44 8.0497
 10451.70 1847.90 13.0000 1615.82 7.8814
 11228.48 1954.30 13.5000 1523.30 7.7105
 11962.37 2052.53 14.0000 1441.32 7.5287
 12658.23 2143.35 14.5000 1368.30 7.3361
 13320.11 2227.41 15.0000 1302.82 7.1328
 13951.44 2305.26 15.5000 1243.73 6.9189
 14555.13 2377.36 16.0000 1190.12 6.6946
 15133.68 2444.10 16.5000 1141.23 6.4598
 15689.26 2505.84 17.0000 1096.46 6.2146
 16223.77 2562.87 17.5000 1055.28 5.9592
 16738.86 2615.47 18.0000 1017.28 5.6935
 17235.99 2663.85 18.5000 982.08 5.4176
 17716.48 2708.24 19.0000 949.37 5.1316
 18181.46 2748.81 19.5000 918.90 4.8356
 18631.98 2785.73 20.0000 890.44 4.5294
 19068.97 2819.16 20.5000 863.78 4.2133
 19493.26 2849.23 21.0000 838.75 3.8873
 19905.61 2876.05 21.5000 815.22 3.5513
 20306.72 2899.74 22.0000 793.03 3.2054
 20697.20 2920.41 22.5000 772.08 2.8497
 21077.63 2938.15 23.0000 752.27 2.4842
 21448.55 2953.04 23.5000 733.50 2.1089
 21810.42 2965.15 24.0000 715.69 1.7239
 22163.69 2974.58 24.5000 698.77 1.3292
-1.00 -1.00 -1.0000 -1.00 -1.0000
21.0000
 6147.53 1229.60 10.0000 1275.79 9.1544
 6792.43 1332.33 10.5000 1336.62 8.9473
 7467.37 1437.40 11.0000 1396.00 8.7497
 8171.62 1544.61 11.5000 1453.82 8.5607
 8904.37 1653.74 12.0000 1509.96 8.3793
 9664.78 1764.58 12.5000 1564.33 8.2049
 10451.95 1876.92 13.0000 1616.86 8.0368
